Ax (g),Ay (g),Az (g),Gx (dps),Gy (dps),Gz (dps),Temp (degC),engine_speed (rpm),vehicle_speed (km/h),engine_load (%),throttle_position (%),distance_traveled_mil (km),o2_volt1 (V),o2_volt2 (V),o2_curr1 (A),o2_curr2 (A)
0.0215,  -0.0839,  2.0394,  2.3100,  -15.6800,  0.0000,  21.7227,  1030.0000,  50.0000,  49.8039,  20.0000,  0.0000,  0.0000,  0.0000,  -128.0000,  -128.0000
0.0288,  -0.0834,  2.0408,  -0.3500,  -3.4300,  -2.6600,  21.7305,  1030.0000,  50.0000,  49.8039,  20.0000,  0.0000,  0.0000,  0.0000,  -128.0000,  -128.0000
0.0273,  -0.0864,  2.0364,  -1.2600,  -6.0200,  -6.1600,  21.7188,  1030.0000,  50.0000,  49.8039,  20.0000,  0.0000,  0.0000,  0.0000,  -128.0000,  -128.0000
0.0293,  -0.0864,  2.0350,  5.8800,  -13.9300,  -7.0700,  21.7383,  1030.0000,  50.0000,  49.8039,  20.0000,  0.0000,  0.0000,  0.0000,  -128.0000,  -128.0000
0.0273,  -0.0878,  2.0306,  4.9700,  -7.7700,  -4.4100,  21.6797,  1030.0000,  50.0000,  49.8039,  20.0000,  0.0000,  0.0000,  0.0000,  -128.0000,  -128.0000
0.0293,  -0.0830,  2.0389,  1.4000,  -6.9300,  -6.2300,  21.7031,  1030.0000,  50.0000,  49.8039,  20.0000,  0.0000,  0.0000,  0.0000,  -128.0000,  -128.0000
0.0244,  -0.0844,  2.0359,  2.3100,  -14.7700,  -13.3000,  21.7383,  1030.0000,  50.0000,  49.8039,  20.0000,  0.0000,  0.0000,  0.0000,  -128.0000,  -128.0000
0.0205,  -0.0786,  2.0369,  7.6300,  -8.6800,  -7.0700,  21.7227,  1030.0000,  50.0000,  49.8039,  20.0000,  0.0000,  0.0000,  0.0000,  -128.0000,  -128.0000
0.0278,  -0.0864,  2.0364,  2.3100,  -13.9300,  -1.7500,  21.7383,  1030.0000,  50.0000,  49.8039,  20.0000,  0.0000,  0.0000,  0.0000,  -128.0000,  -128.0000
0.0293,  -0.0820,  2.0350,  5.8800,  -12.1800,  -3.5000,  21.7031,  1030.0000,  50.0000,  49.8039,  20.0000,  0.0000,  0.0000,  0.0000,  -128.0000,  -128.0000
0.0244,  -0.0795,  2.0359,  0.4900,  -7.7700,  0.9100,  21.7148,  1030.0000,  50.0000,  49.8039,  20.0000,  0.0000,  0.0000,  0.0000,  -128.0000,  -128.0000
